Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO TIRADENTES PELOTAS;43000304;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AV DUQUE DE CAXIAS 546, 546 FRAGATA. 96030-003 Pelotas - RS.";(53) 32812866;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-31.75701;-52.37308
ESCOLA PARALISADA;EEI NOSSOS AMIGUINHOS;43001084;RS;Pelotas;Urbana;Não Informado;Privada;"RUA VOLUNTARIOS DA PATRIA, 1927. CENTRO. 96015-730 Pelotas - RS.";(53) 30256230;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI CRIANCA AMADA;43001165;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA DOMINGOS JOSE DE ALMEIDA, 1077 AREAL. 96085-470 Pelotas - RS.";(53) 30282009;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI MUNDO DO MICKEY;43001173;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA BALDOMERO TRAPAGA, 132 PORTO. 96075-540 Pelotas - RS.";(53) 32279908;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-31.77139;-52.32994
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI CHAPEUZINHO VERMELHO;43002145;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA BARAO DE SANTA TECLA, 621 CENTRO. 96010-140 Pelotas - RS.";(53) 81265782;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-31.76221;-52.34358
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEF TRES VENDAS;43003222;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR BRUNO CHAVES, 300 TRES VENDAS. 96055-040 Pelotas - RS.";(53) 33216780;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;;-31.73153;-52.34641
ESCOLA PARALISADA;EEI PEQUENO PENSADOR;43003230;RS;Pelotas;Urbana;Não Informado;Privada;"AVENIDA DUQUE DE CAXIAS, FRAGATA. 96030-001 Pelotas - RS.";(53) 32712972;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI REINO AZUL;43003249;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA DUQUE DE CAXIAS, 336 70. FRAGATA. 96030-002 Pelotas - RS.";(53) 32784655;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-31.75871;-52.36329
ESCOLA PARALISADA;EEI JARDIM ENCANTADO;43003257;RS;Pelotas;Urbana;Não Informado;Privada;"RUA TIRADENTES, 2605 CENTRO. 96010-165 Pelotas - RS.";(53) 33027018;Privada;Não Informado;Não;;;;;;
ESCOLA PARALISADA;CRI NOVO SAPEQUINHA;43003265;RS;Pelotas;Urbana;Não Informado;Privada;"AVENIDA BENTO GONCALVES, 4149 CENTRO. 96015-140 Pelotas - RS.";(53) 33071000;Privada;Não Informado;Não;;;;;;
